Parish,Population
S. Nicola,4.86
Angelo Rafael,3.84
S. Basilio,1.36
S. Margherita,1.98
S. Pantalon,2.91
S. Barnaba,1.96
S. Trovaso,1.24
S. Agnese,1.48
S. Vio,1.38
S. Gregorio,1.56
S. Eufemia,5.07
S. Polo,1.95
S. Tomà,1.08
S. Stin,0.98
S. Agostin,0.692
S. Boldo,0.307
S. Aponal,1.88
S. Silvestro,1.41
S. Mattio,0.704
S. Giovanni di Rialto,0.829
S. Pietro di Castello,8.74
S. Biagio,0.602
S. Martino,2.51
S. Trinità,1.86
S. Giustina,1.35
S. Giovanni Battista in Bragora,2.52
S. Antonino,1.10
S. Provolo,0.727
S. Severo,1.06
S. Giovanni Novo,1.51
S. Marina,1.77
S. Maria Formosa,4.46
S. Lio,1.03
S. Maria Elisabetta di Lido,0.261
S. Marco,0.441
S. Basso,0.481
S. Ziminian,1.43
S. Moisé,4.65
S. Zulian,1.96
S. Bartolomeo,1.11
S. Salvador,1.64
S. Luca,2.23
S. Beneto,0.531
S. Paternian,0.857
S. Fantin,0.388
S. Maria Zobenigo,1.20
S. Maurizio,0.721
S. Angelo,2.08
S. Vidal,0.784
S. Samuele,1.89
S. Geremia,6.09
S. Leonardo,0.560
S. Marcuola,6.24
S. Maria Maddalena,0.606
S. Fosca,0.819
S. Felice,1.63
S. Sofia,2.42
S. Apostoli,3.64
S. Canziano,3.60
S. Maria Nova,1.00
S. Giovanni Crisostomo,0.810
S. Croce,3.52
S. Lucia,0.945
S. Simon Grande,2.58
S. Simeone Piccolo,1.18
S. Giovanni Degolà,0.490
S. Giacomo dell Orio,2.84
S. Stae,1.15
S. Maria Mater Domini,0.526
S. Cassan,2.43
S. Croce,15.66
Dorsoduro,27.84
S. Polo,9.84
Castello,29.49
S. Marco,22.40
