Parish,Population
S. Nicola,4.862
Angelo Rafael,3.839
S. Basilio,1.361
S. Margherita,1.976
S. Pantalon,2.914
S. Barnaba,1.963
S. Trovaso,1.240
S. Agnese,1.477
S. Vio,1.377
S. Gregorio,1.558
S. Eufemia,5.070
S. Polo,1.951
S. Tomà,1.077
S. Stin,0.980
S. Agostin,0.692
S. Boldo,0.307
S. Aponal,1.884
S. Silvestro,1.414
S. Mattio,0.704
S. Giovanni di Rialto,0.829
S. Pietro di Castello,8.737
S. Biagio,0.602
S. Martino,2.511
S. Trinità,1.857
S. Giustina,1.351
S. Giovanni Battista in Bragora,2.518
S. Antonino,1.099
S. Provolo,0.727
S. Severo,1.063
S. Giovanni Novo,1.510
S. Marina,1.770
S. Maria Formosa,4.455
S. Lio,1.025
S. Maria Elisabetta di Lido,0.261
S. Marco,0.441
S. Basso,0.481
S. Ziminian,1.427
S. Moisé,4.654
S. Zulian,1.962
S. Bartolomeo,1.106
S. Salvador,1.636
S. Luca,2.232
S. Beneto,0.531
S. Paternian,0.857
S. Fantin,0.388
S. Maria Zobenigo,1.197
S. Maurizio,0.721
S. Angelo,2.082
S. Vidal,0.784
S. Samuele,1.886
S. Geremia,6.086
S. Leonardo,0.560
S. Marcuola,6.236
S. Maria Maddalena,0.606
S. Fosca,0.819
S. Felice,1.632
S. Sofia,2.423
S. Apostoli,3.643
S. Canziano,3.604
S. Maria Nova,1.003
S. Giovanni Crisostomo,0.810
S. Croce,3.515
S. Lucia,0.945
S. Simon Grande,2.578
S. Simeone Piccolo,1.180
S. Giovanni Degolà,0.490
S. Giacomo dell Orio,2.842
S. Stae,1.149
S. Maria Mater Domini,0.526
S. Cassan,2.434
