Parish,1509,1551,1581,1586
S. Lucia,299,586,889,1.041
S. Geremia,,6.002,6.62,7.842
S. Leonardo,,795,562,649
S. Marcuola,,6.659,8.392,7.392
S. Marcilian,,3.847,2.897,3.168
S. Maria Maddalena,,611,671,680
S. Fosca,,1.12,933,1.067
S. Felice,,1.628,1.206,1.399
S. Sofia,,2.68,2.233,2.367
S. Apostoli,,3.491,3.222,3.631
S. Canziano,,2.988,2.367,2.738
S. Maria Nova,,1.213,985,1.285
S. Giovanni Crisostomo,,1.123,898,1.052
S. Pietro di Castello,,8.037,8.089,9.596
S. Biagio,,695,373,618
S. Martino,,2.421,2.227,2.718
S. Giovanni Battista in Bragora,,2.669,2.29,2.298
S. Antonino,,1.428,1.22,1.402
S. Trinità,,2.904,2.202,2.566
S. Giustina,,1.548,1.29,1.552
S. Severo,,1.507,1.34,1.513
S. Provolo,,1.427,948,1.002
S. Maria Formosa,,4.836,3.766,2.883
S. Marina,,2.055,2.227,1.76
S. Lio,,1.308,1.208,1.326
S. Giovanni Novo,,2.031,1.663,1.832
S. Nicola,,4.043,3.448,3.992
Angelo Rafael,,3.935,3.224,3.686
S. Basilio,,1.891,1.889,1.783
S. Margherita,,2.697,2.089,2.334
S. Pantalon,,3.518,3.134,3.577
S. Barnaba,,2.805,2.192,2.506
S. Trovaso,,3.141,2.376,2.804
S. Agnese,,2.372,1.824,1.696
S. Vio,,1.526,1.152,1.389
S. Gregorio,,2.27,2.098,2.436
S. Eufemia,,4.016,4.276,5.247
S. Croce,1.103,3.28,2.664,2.879
S. Simon Grande,2.948,3.35,2.638,3.29
S. Simeone Piccolo,494,1.108,1.169,1.181
S. Giovanni Degolà,536,586,688,733
S. Giacomo dell Orio,2.097,3.66,3.068,3.532
S. Stae,1.265,1.216,1.203,1.307
S. Maria Mater Domini,821,1.109,838,993
S. Cassan,2.267,3.302,2.538,2.838
S. Marco,664,225,425,424
S. Basso,,676,439,396
S. Ziminian,1.335,1.649,1.319,1.416
S. Moisé,3.276,4.601,3.249,3.489
S. Zulian,2.092,2.226,2.055,2.83
S. Bartolomeo,712,1.784,923,1.043
S. Salvador,2.124,2.565,1.969,2.094
S. Luca,1.842,2.399,1.961,2.174
S. Beneto,517,786,674,731
S. Paternian,771,873,782,864
S. Fantin,293,512,428,477
S. Maria Zobenigo,1.091,1.465,1.267,1.411
S. Maurizio,716,826,629,569
S. Angelo,1.787,2.821,2.397,2.668
S. Vidal,1.494,1.143,1.076,1.254
S. Samuele,1.889,2.024,2.04,1.811
S. Polo,1.782,2.831,2.24,2.433
S. Tomà,981,1.393,1.332,1.429
S. Stin,901,1.23,1.03,984
S. Agostin,220,859,699,788
S. Boldo,397,514,400,489
S. Aponal,1.858,2.134,1.889,2.484
S. Silvestro,1.325,1.819,1.568,1.457
S. Mattio,370,922,653,669
S. Giovanni di Rialto,89,134,146,648
