sestiere,parish,pop_1586,pop_1696,pop_1629_citywide_regression_method,pop_1629_sestiere_anchored_method,pct_diff_recommended_vs_naive
Cannaregio,S. Apostoli,3631.0,3643,3281.0,3310.0,1.0
Cannaregio,S. Canziano,2738.0,3604,2479.0,2496.0,1.0
Cannaregio,S. Felice,1399.0,1632,1276.0,1275.0,-0.0
Cannaregio,S. Fosca,1067.0,819,978.0,973.0,-1.0
Cannaregio,S. Geremia,7842.0,6086,7062.0,7149.0,1.0
Cannaregio,S. Giovanni Crisostomo,1052.0,810,965.0,959.0,-1.0
Cannaregio,S. Leonardo,649.0,560,603.0,592.0,-2.0
Cannaregio,S. Lucia,1041.0,945,955.0,949.0,-1.0
Cannaregio,S. Marcilian,3168.0,2680,2865.0,2888.0,1.0
Cannaregio,S. Marcuola,7392.0,6236,6658.0,6739.0,1.0
Cannaregio,S. Maria Maddalena,680.0,606,631.0,620.0,-2.0
Cannaregio,S. Maria Nova,1285.0,1003,1174.0,1172.0,-0.0
Cannaregio,S. Sofia,2367.0,2423,2145.0,2158.0,1.0
Castello,S. Antonino,1402.0,1099,1279.0,1432.0,12.0
Castello,S. Biagio,618.0,602,575.0,631.0,10.0
Castello,S. Giovanni Novo,1832.0,1510,1665.0,1871.0,12.0
Castello,S. Giovanni Battista in Bragora,2298.0,2518,2083.0,2347.0,13.0
Castello,S. Giustina,1552.0,1351,1414.0,1585.0,12.0
Castello,S. Lio,1326.0,1025,1211.0,1355.0,12.0
Castello,S. Maria Formosa,2883.0,4455,2609.0,2945.0,13.0
Castello,S. Marina,1760.0,1770,1600.0,1798.0,12.0
Castello,S. Martino,2718.0,2511,2461.0,2776.0,13.0
Castello,S. Pietro di Castello,9596.0,8737,8637.0,9802.0,13.0
Castello,S. Provolo,1002.0,727,920.0,1024.0,11.0
Castello,S. Severo,1513.0,1063,1379.0,1546.0,12.0
Castello,S. Trinità,2566.0,1857,2324.0,2621.0,13.0
Dorsoduro,Angelo Rafael,3686.0,3839,3330.0,3651.0,10.0
Dorsoduro,S. Agnese,1696.0,1477,1543.0,1680.0,9.0
Dorsoduro,S. Barnaba,2506.0,1963,2270.0,2482.0,9.0
Dorsoduro,S. Basilio,1783.0,1361,1621.0,1766.0,9.0
Dorsoduro,S. Eufemia,5247.0,5070,4732.0,5197.0,10.0
Dorsoduro,S. Gregorio,2436.0,1558,2207.0,2413.0,9.0
Dorsoduro,S. Margherita,2334.0,1976,2116.0,2312.0,9.0
Dorsoduro,S. Nicola,3992.0,4862,3605.0,3954.0,10.0
Dorsoduro,S. Pantalon,3577.0,2914,3232.0,3543.0,10.0
Dorsoduro,S. Trovaso,2804.0,1240,2538.0,2778.0,9.0
Dorsoduro,S. Vio,1389.0,1377,1267.0,1376.0,9.0
S. Croce,S. Cassan,2838.0,2434,2568.0,3027.0,18.0
S. Croce,S. Croce,2879.0,3515,2605.0,3071.0,18.0
S. Croce,S. Giacomo dell Orio,3532.0,2842,3192.0,3767.0,18.0
S. Croce,S. Maria Mater Domini,993.0,526,912.0,1059.0,16.0
S. Croce,S. Simon Grande,3290.0,2578,2974.0,3509.0,18.0
S. Croce,S. Simeone Piccolo,1181.0,1180,1080.0,1260.0,17.0
S. Croce,S. Stae,1307.0,1149,1194.0,1394.0,17.0
S. Croce,S. Giovanni Degolà,733.0,490,678.0,782.0,15.0
S. Marco,S. Angelo,2668.0,2082,2416.0,2286.0,-5.0
S. Marco,S. Basso,396.0,481,376.0,339.0,-10.0
S. Marco,S. Beneto,731.0,531,676.0,626.0,-7.0
S. Marco,S. Bartolomeo,1043.0,1106,957.0,894.0,-7.0
S. Marco,S. Fantin,477.0,388,448.0,409.0,-9.0
S. Marco,S. Luca,2174.0,2232,1972.0,1863.0,-6.0
S. Marco,S. Marco,424.0,441,401.0,363.0,-9.0
S. Marco,S. Maria Zobenigo,1411.0,1197,1287.0,1209.0,-6.0
S. Marco,S. Maurizio,569.0,721,531.0,488.0,-8.0
S. Marco,S. Moisé,3489.0,4654,3153.0,2990.0,-5.0
S. Marco,S. Paternian,864.0,857,796.0,740.0,-7.0
S. Marco,S. Salvador,2094.0,1636,1900.0,1794.0,-6.0
S. Marco,S. Samuele,1811.0,1886,1646.0,1552.0,-6.0
S. Marco,S. Vidal,1254.0,784,1146.0,1075.0,-6.0
S. Marco,S. Ziminian,1416.0,1427,1291.0,1213.0,-6.0
S. Marco,S. Zulian,2830.0,1962,2561.0,2425.0,-5.0
S. Polo,S. Agostin,788.0,692,728.0,727.0,-0.0
S. Polo,S. Aponal,2484.0,1884,2251.0,2292.0,2.0
S. Polo,S. Boldo,489.0,307,459.0,451.0,-2.0
S. Polo,S. Mattio,669.0,704,621.0,617.0,-1.0
S. Polo,S. Polo,2433.0,1951,2205.0,2245.0,2.0
S. Polo,S. Silvestro,1457.0,1414,1328.0,1344.0,1.0
S. Polo,S. Stin,984.0,980,904.0,908.0,0.0
S. Polo,S. Tomà,1429.0,1077,1303.0,1318.0,1.0
S. Polo,S. Giovanni di Rialto,648.0,829,602.0,598.0,-1.0
Castello,S. Maria Elisabetta di Lido,,261,,,
