"","V1","total_deaths","V3"
"S.Agostin",1,147,764.885542672964
"S.Angelo",2,721,2570.66168128167
"Angelo.Rafael",3,1894,3548.47024995383
"S.Antonino",4,437,1354.64434538879
"S.Aponal",5,959,2393.92614431146
"S.Barnaba",6,762,2415.05756721007
"S.Basilio",7,577,1720.60216922385
"S.Basso",8,155,388.362007388596
"S.Biagio",9,274,601.597274820049
"S.Bartolomeo",10,411,1009.81794445234
"S.Canziano",11,1392,2637.89802686817
"S.Croce",12,1184,2773.33123726382
"S.Eufemia",13,2089,5047.84075653266
"S.Felice",14,497,1351.76278772079
"S.Fosca",15,233,1032.87040579628
"S.Geremia",16,2405,7540.38813934627
"S.Giacomo.dell.Orio",17,1427,3400.55028966354
"S.Giovanni.di.Rialto",18,365,630.412851499975
"S.Giovanni.Crisostomo",19,351,1018.46261745631
"S.Giovanni.Battista.in.Bragora",20,957,2215.26956889591
"S.Giovanni.Novo",21,594,1767.66761113439
"S.Lio",22,483,1281.64488446631
"S.Luca",23,1148,2096.16518528555
"S.Leonardo",24,230,631.37337072264
"S.Marco",25,203,415.256545623193
"S.Marcuola",26,2491,7108.15448914738
"S.Margherita",27,799,2249.84826091183
"S.Maria.Formosa",28,1722,2777.17331415448
"S.Maria.Maddalena",29,241,661.14946662523
"S.Maria.Nova",30,385,1242.26359633707
"S.Maria.Zobenigo",31,278,1363.28901839276
"S.Marina",32,712,1698.51022710257
"S.Mattio",33,288,650.583755175924
"S.Maurizio",34,171,554.531832909503
"S.Moisé",35,1584,3359.24796308898
"S.Nicola",36,2097,3842.38913208908
"S.Pantalon",37,766,3443.77365468343
"S.Paternian",38,330,837.885003595444
"S.Pietro.di.Castello",39,2990,9225.13885589929
"S.Polo",40,52,2344.93966395558
"S.Samuele",41,725,1747.49670745845
"S.Severo",42,239,1461.26197910451
"S.Silvestro",43,727,1407.47290263532
"S.Simon.Grande",44,969,3168.10463777881
"S.Sofia",45,989,2281.54539525974
"S.Stae",46,109,1263.39501923569
"S.Stin",47,392,953.147310315148
"S.Tomà",48,337,1380.57836440072
"S.Trovaso",49,763,2701.292295564
"S.Vidal",50,233,1212.48750043448
"S.Ziminian",51,499,1368.09161450609
"S.Zulian",52,851,2726.26579535327
"S.Apostoli",53,1268,3495.6416927073
